Semana ,Casos Notificados ,Em Investigação ,Casos Confirmados ,Casos Descartados 
06-2016,5280,3935,508,837
07-2016,5639,4106,583,950
08-2016,5909,4222,641,1046
09-2016,6158,4231,745,1182
10-2016,6480,4268,863,1349
11-2016,6671,4293,907,1471
12-2016,6776,4291,944,1541
13-2016,6906,4046,1046,1814
14-2016,7015,3836,1113,2066
15-2016,7150,3741,1168,2241
16-2016,7228,3710,1198,2320
17-2016,7343,3580,1271,2492
18-2016,7438,3433,1326,2679
19-2016,7534,3332,1384,2818
20-2016,7623,3257,1434,2932
21-2016,7723,3162,1489,3072
22-2016,7830,3017,1551,3262
23-2016,7936,3047,1581,3308
24-2016,8039,3007,1616,3416
25-2016,8165,3061,1638,3466
26-2016,8301,3130,1656,3515
27-2016,8451,3142,1687,3622
28-2016,8571,3182,1709,3680
29-2016,8703,3062,1749,3892
30-2016,8801,3012,1773,4016
31-2016,8890,2978,1806,4106
32-2016,9015,2957,1835,4223
33-2016,9091,2968,1845,4278
34-2016,9172,2971,1857,4344
35-2016,9289,2989,1888,4412
36-2016,9367,2990,1911,4466
37-2016,9514,3030,1949,4535
38-2016,9645,3031,1989,4625
39-2016,9711,3023,2001,4687
40-2016,9814,3055,2033,4726
41-2016,9862,3035,2063,4764
42-2016,9953,3077,2079,4797
43-2016,10039,3091,2106,4842
44-2016,10119,3086,2143,4890
45-2016,10199,3115,2159,4925
46-2016,10276,3113,2189,4974
47-2016,10342,3121,2211,5010
48-2016,10441,3173,2228,5040
50-2016,10574,3144,2289,5141